מחוז,רשות,אשכול,מזהה כיתה,שם כיתה,סמל,מודל,שם מוסד,סוג חינוך,סוג מוסד,מחיר,תשלומים,כמות ילדים ,ת. הרשמה ,ת. התחלה,ת.סיום
מרכז,אלעד,3,3387491,כיתה א',338749,2,"בי""ס בית מרגלית החדש",רגיל,"בי""ס",500,3,60,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,3387492,כיתה ב',338749,2,"בי""ס בית מרגלית החדש",רגיל ,"בי""ס",500,3,60,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,3509831,כיתה א',350983,2,"ת""ת דעת יוסף ",רגיל,"בי""ס",500,3,58,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,3509832,כיתה ב',350983,2,"ת""ת דעת יוסף ",רגיל,"בי""ס",500,3,58,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4150591,כיתה א' ,415059,2,"בי""ס בית מרגלית ",רגיל,"בי""ס",500,3,65,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4150592,כיתה ב',415059,2,"בי""ס בית מרגלית",רגיל ,"בי""ס",500,3,65,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4156611,כיתה א' ,415661,2,מאור ישראל,רגיל,"בי""ס",500,3,60,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4156612,כיתה ב',415661,2,מאור ישראל,רגיל,"בי""ס",500,3,60,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4163471,כיתה א',416347,2,"ת""ת פרי תואר",רגיל,"בי""ס",500,3,98,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4163472,כיתה ב',416347,2,"ת""ת פרי תואר",רגיל,"בי""ס",500,3,98,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4165451,כיתה א',416545,2,"בי""ס פרי תואר",רגיל ,"בי""ס",500,3,81,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4165452,כיתה ב',416545,2,"בי""ס פרי תואר",רגיל,"בי""ס",500,3,81,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,239145,גן חדווה חבשוש,239145,7,"מג""י",מיוחד,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,239152,גן נעמי מרחבי,239152,7,"מג""י",מיוחד,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,3381781,כיתה א',338178,2,דרך התורה ,רגיל ,"בי""ס",500,3,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,3381782,כיתה ב',338178,2,דרך התורה ,רגיל,"בי""ס",500,3,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546754,גן אודליה ,546754,1,בית מרגלית ,רגיל ,גן ,500,3,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546838,גן אבישג,546838,1,דעת יוסף ,רגיל ,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555334,גן מיכל אבו,555334,1,פרי תואר ,רגיל ,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,559286,גן ריני דרשן,559286,1,פרי תואר ,רגיל ,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,453332,גן מיכל ,453332,1,בית מרגלית ,רגיל ,גן ,500,3,28,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,373530,גן חגית וילמן,373530,7,מגי ,מיוחד ,גן ,500,3,11,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546713,גן אילנית חגג,546713,1,בית מרגלית ,רגיל ,גן ,500,3,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546739,גן נחמי קלנטר,546739,1,בית מרגלית ,רגיל ,גן ,500,3,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546812,גן רבקה ,546812,1,דעת יוסף ,רגיל ,גן ,500,3,28,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546861,גן מלי הלוי,546861,1,בית מרגלית ,רגיל ,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555193,גן מירב כהן,555193,1,מאור ישראל ,רגיל ,גן ,500,3,26,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555326,גן נועה דוידה,555326,1,פרי תואר- מאור ישראל,רגיל ,גן ,500,3,23,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,557447,גן גאולה אוחנה ,557447,1,פרי תואר ,רגיל ,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,216184,גן רותי גדסי,216184,1,פרי תואר ,רגיל ,גן ,500,3,27,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,720359,גן שלהבת ,720359,1,אור המאיר ,רגיל ,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,722173,גן קלרה ,722173,1,אור המאיר ,רגיל ,גן ,500,3,32,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,557462,גן אורית ,557462,1,אור המלך,רגיל ,גן ,500,3,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4105551,כיתה א' ,410555,2,ביס אור אור המאיר בנות ,רגיל ,"בי""ס",500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,216192,גן מיכל בן חיים,216192,1,יונתן בן עוןזיאל,רגיל ,גן ,500,3,29,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555318,גן הדס קאשי,555318,1,אלון דקל ,רגיל ,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,559294,גן מרים אלעזרא,559294,1,פרי תואר ,רגיל ,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,721001,גן אורלי ,721001,1,אור המאיר ,רגיל ,גן ,500,3,32,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555201,גן אורית לוי,555201,1,אור המלך,רגיל ,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,373571,גו אפרת בן חור,373571,7,גן מגי ,מיוחד ,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546853,גן רות פרחי,546853,1,בית מרגלית ,רגיל ,גן ,500,3,33,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546820,גן שרה עבו ,546820,1,דעת יוסף ,רגיל ,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4150591,כיתה א' ,415059,9,"בי""ס בית מרגלית רבי טרפון ",מיוחד,"בי""ס",500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4150592,כיתה ב',415059,9,"בי""ס בית מרגלית רבי טרפון ",מיוחד,"בי""ס ",500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,720672,גן רות,720672,1,אור המאיר ,רגיל ,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546721,גן חדווה סרי,546721,1,בית מרגלית ,רגיל ,גן ,500,3,28,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,4105552,כיתה ב',410555,2,ביס אור אור המאיר בנות ,רגיל ,"בי""ס",500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,2410181,כיתה א',241018,2,"ת""ת אור המאיר",רגיל ,"בי""ס",500,3,35,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,2410182,כיתה ב',241018,2,"ת""ת אור המאיר",רגיל ,"בי""ס",500,3,35,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,716100,גן מיכל פנחסי,716100,7,מגי ,מיוחד ,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,555342,גן מירי מזרחי ,555342,1,פרי תואר,רגיל,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,720664,גן שלווה,720664,1,אור המאיר ,רגיל ,גן ,500,3,,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,239160,גן חדווה לוי,239160,7,מגי ,מיוחד ,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,453340,גן מיכל צאירי,453340,1,בית מרגלית ,רגיל,גן ,500,3,29,29/07/2018,01/09/2018,30/06/2019
מרכז ,אלעד,3,342097,גן שירלי ענף,342097,1,פרי תואר,רגיל ,גן ,500,3,20,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,557439,גן יעל אייל,557439,1,פרי תואר ,רגיל ,גן ,500,3,21,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,546747,גן דגנית חדד,546747,1,בית מרגלית ,רגיל,גן,500,3,26,29/07/2018,01/09/2018,30/06/2019
מרכז,אלעד,3,474346,גן הודיה דאהן,474346,7,מגי ,מיוחד ,גן ,500,3,11,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1360101,כיתה א' ,136010,5,חניכי הישיבות ,רגיל ,"בי""ס יוח""א ",0,3,83,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1360102,כיתה ב',136010,5,חניכי הישיבות ,רגיל,"בי""ס יוח""א ",0,3,83,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1360101,כיתה א' ,136010,12,חניכי הישיבות ,מיוחד,"בי""ס יוח""א ",0,3,32,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1360102,כיתה ב',136010,12,חניכי הישיבות ,מיוחד ,"בי""ס יוחא",0,3,32,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,4997311,כיתה א',499731,5,אורחות אימותינו,רגיל ,"בי""ס יוח""א ",0,3,61,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,4997312,כיתה ב',499731,5,אורחות אימותינו,רגיל,"בי""ס יוח""א ",0,3,61,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,2730861,כיתה א' ,273086,5,בית יעקב רמת בית שמש ,רגיל ,"בי""ס יוח""א ",0,3,36,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,2730862,כיתה ב',273086,5,בית יעקב רמת בית שמש ,רגיל,"בי""ס יוח""א ",0,3,36,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1240571,כיתה א',124057,5,מגן אבות ,רגיל ,"בי""ס יוח""א ",0,3,34,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1240572,כיתה ב',124057,5,מגן אבות ,רגיל,"בי""ס יוח""א ",0,3,34,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,5114021,כיתה א',511402,5,עוז והדר ,רגיל,"בי""ס יוח""א ",0,3,35,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,5114022,כיתה ב',511402,5,עוז והדר ,רגיל,"בי""ס יוח""א ",0,3,35,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1143971,כיתה א' ,114397,5,חיי שרה,רגיל ,"בי""ס יוח""א ",0,3,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,1143972,כיתה ב',114397,5,חיי שרה,רגיל ,"בי""ס יוחא ",0,3,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,5114691,כיתה א' ,511469,5,בנות הדסה ,רגיל,"בי""ס יוח""א ",0,3,33,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,5114692,כיתה ב',511569,5,בנות הדסה ,רגיל ,"בי""ס יוח""א ",0,3,33,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,6118481,כיתה א',611848,5,תורת שלום ,רגיל,"בי""ס יוח""א ",0,3,73,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,6118482,כיתה ב',611848,5,תורת שלום,רגיל ,"בי""ס יוח""א ",0,3,73,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,36723,גן רינה ,36723,1,אור החיים ,רגיל,גן ,500,3,31,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,455352,גן מכינה ,455352,1,תורת שלום,רגיל,גן ,500,3,32,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,713347,גן אפרת ,713347,1,בנות מלכה,רגיל,גן ,500,3,28,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,713369,גן נחמי,713396,1,בנות מלכה,רגיל,גן ,500,3,30,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,454439,גן אפרת,454439,1,עוז והדר ,רגיל,גן ,500,3,35,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,468751,גן שלי ,468751,1,עוז והדר ,רגיל,גן,500,3,20,29/09/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,455253,גן חיה ,455253,1,תורת שלום ,רגיל,גן ,500,3,28,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,547075,גן אושרת אזולאי,547075,1,חניכי הישיבות ,רגיל,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,547083,גן מרים פרנסי,547083,1,חניכי הישיבות ,רגיל,גן ,500,3,25,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,711887,גן רבקה פרל,711887,1,חניכי הישיבות ,רגיל,גן ,500,3,20,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,712125,גן מרים עזר,712125,1,חניכי הישיבות ,רגיל,גן ,500,3,23,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,710764,גן אליהו בוסו,710764,1,חניכי הישיבות ,רגיל,גן ,500,3,27,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,730796,גן מלי ,730796,7,מגי,מיוחד,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,379982,גן אפרת,379982,7,מגי,מיוחד,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,424457,גן אסתי ,424457,7,מגי,מיוחד,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,376558,גן שירה ,376558,7,מגי ,מיוחד,גן ,500,3,12,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,710590,גן מדר,710590,1,חניכי הישיבות ,רגיל ,גן ,500,3,20,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,453696,גן רבקה ,453696,1,ילקוט יוסף ,רגיל ,גן ,500,3,20,29/07/2018,01/09/2018,30/06/2019
מרכז,בית שמש ,3,153858,גן סיגלית ,153858,1,תפארת החיים,רגיל ,גן ,500,3,21,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,3631351,כיתה א' ,363135,5,חפץ חיים ,רגיל ,"בי""ס יוח""א ",0,3,54,29/07/2018,01/09/2018,30/06/2019
מרכז,ביתר עילית ,3,713677,גן תהילה ,713677,1,חפץ חיים ,רגיל ,גן ,500,3,28,29/07/2018,01/09/2018,30/06/2019
